,Index,Computing machine,NumberOfFeatures,NumberOfInstances,aml60train,aml60test,aml600train,aml600test,aml1200train,aml1200test,h2o60train,h2o60test,h2o600train,h2o600test,h2o1200train,h2o1200test,tpot60train,tpot60test,tpot600train,tpot600test,tpot1200train,tpot1200test,ag60train,ag60test,ag600train,ag600test,ag1200train,ag1200test,aml60algo,aml600algo,aml1200algo,h2o60algo,h2o600algo,h2o1200algo,tpot60algo,tpot600algo,tpot1200algo,ag60algo,ag600algo,ag1200algo
36,23499,Desktop,10,277,0.7153,0.6951,0.7153,0.6951,0.7153,0.6951,0.8102,0.6843,0.8116,0.6598,0.7685,0.6563,0.8103,0.6581,0.8553,0.6667,0.8553,0.6667,0.9853,0.6873,0.9853,0.6873,0.9853,0.6873,ada_boost,ada_boost,ada_boost,GBM,GBM,DeepLearning,GaussianNB,ExtraTreesClassifier,ExtraTreesClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
37,1167,Desktop,9,320,0.6303,0.6833,0.6303,0.6833,0.6303,0.6833,0.6834,0.5862,0.7681,0.6931,0.7832,0.6676,0.6408,0.68,0.6592,0.6833,0.6592,0.6833,0.6182,0.6829,0.6182,0.6829,0.6182,0.6829,ada_boost,ada_boost,ada_boost,DeepLearning,GBM,GBM,MultinomialNB,MultinomialNB,MultinomialNB,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
38,1511,Desktop,9,440,0.9627,0.9673,0.9627,0.9673,0.9627,0.9673,0.9946,0.9487,0.9616,0.9491,0.9916,0.9675,0.9906,0.9559,0.9894,0.9563,0.9886,0.9567,0.9778,0.9704,0.9778,0.9704,0.9778,0.9704,extra_trees,extra_trees,extra_trees,XGBoost,DeepLearning,GBM,RandomForestClassifier,RandomForestClassifier,RandomForestClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
39,1524,Desktop,7,310,0.9155,0.9289,0.9155,0.9289,0.9155,0.9289,0.9992,0.8814,0.9998,0.883,0.9361,0.9229,0.944,0.9597,0.9409,0.9375,0.9409,0.9375,0.9415,0.9067,0.9415,0.9067,0.9415,0.9067,mlp,mlp,mlp,GBM,GBM,XGBoost,LogisticRegression,LogisticRegression,LogisticRegression,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
40,890,Desktop,8,108,0.8823,0.9013,0.8823,0.9013,0.8823,0.9013,0.981,0.8882,0.6798,0.4803,1.0,0.9211,1.0,0.9013,1.0,0.9013,1.0,0.9013,1.0,0.8092,1.0,0.8092,1.0,0.8092,gradient_boosting,gradient_boosting,gradient_boosting,GBM,DeepLearning,GBM,MultinomialNB,MultinomialNB,MultinomialNB,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
41,1455,Desktop,7,120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gradient_boosting,gradient_boosting,gradient_boosting,DeepLearning,DeepLearning,DeepLearning,DecisionTreeClassifier,DecisionTreeClassifier,DecisionTreeClassifier,CatBoost,CatBoost,CatBoost
42,1473,Desktop,10,100,0.5644,0.5298,0.5644,0.5298,0.5644,0.5298,0.8535,0.7857,0.9356,0.6429,0.986,0.619,0.9095,0.631,0.8909,0.5238,0.8909,0.5238,0.8846,0.5833,0.8846,0.5833,0.8846,0.5833,ada_boost,ada_boost,ada_boost,XGBoost,GBM,GBM,BernoulliNB,BernoulliNB,BernoulliNB,NeuralNetTorch,NeuralNetTorch,NeuralNetTorch
43,1463,Desktop,6,100,0.9202,0.7833,0.9202,0.7833,0.9202,0.7833,0.9636,0.83,0.9747,0.79,0.9687,0.8167,0.9713,0.5633,0.9721,0.6733,0.9721,0.6733,0.9773,0.77,0.9773,0.77,0.9773,0.77,bagging,bagging,bagging,XGBoost,GBM,XGBoost,ExtraTreesClassifier,KNeighborsClassifier,KNeighborsClassifier,CatBoost,CatBoost,CatBoost
44,1495,Desktop,7,250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gradient_boosting,gradient_boosting,gradient_boosting,DRF,GBM,GBM,GaussianNB,GaussianNB,GaussianNB,CatBoost,CatBoost,CatBoost
45,40714,Desktop,6,32,0.1806,0.1562,0.1806,0.1562,0.1806,0.1562,0.5625,0.125,0.5625,0.5625,0.5694,0.375,0.9722,1.0,0.9722,1.0,0.9722,1.0,0.6667,0.8125,0.6667,0.8125,0.6667,0.8125,xgboost_gbtree,xgboost_gbtree,xgboost_gbtree,DeepLearning,DeepLearning,DeepLearning,KNeighborsClassifier,KNeighborsClassifier,KNeighborsClassifier,NeuralNetFastAI,NeuralNetFastAI,NeuralNetFastAI
46,41538,Desktop,7,246,0.5032,0.6824,0.5032,0.6824,0.5032,0.6824,0.8029,0.586,0.5164,0.3711,0.9704,0.5073,0.9665,0.4822,0.9858,0.5304,0.9924,0.6457,0.5189,0.5702,0.5189,0.5702,0.5189,0.5702,random_forest,random_forest,random_forest,XGBoost,DeepLearning,DeepLearning,RandomForestClassifier,RandomForestClassifier,KNeighborsClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
